name	strain_name	ST	Revised_Source_Niche	Revised_Source_Type	Intestinal_or_Extraintestinal	Collection_Year	Collection	State	Biosample number	Assembly accession	SRA Accession	Bio Project ID	IncF_RST	cgMLST cluster (40 allelic distance)	PopPunk Cluster (Clusters merged by PopPunk are separated by underscores)																																																				
AusGEM_01944	HOS81	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103573	NA	SRR13843908	PRJNA705804; PRJNA514245	F1:A2:B20	148	4																																																				
AusGEM_01945	HOS82	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103574	NA	SRR13843907	PRJNA705804; PRJNA514245	F2!/F10!:A1:B-	157	4																																																				
AusGEM_01946	HOS83	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103575	NA	SRR13843906	PRJNA705804; PRJNA514245	F95!/F4!/F1!:A2:B20	182	4																																																				
AusGEM_01947	HOS84	131	Human	Human	Extraintestinal	2008	AusGEM	NSW	SAMN18103576	NA	SRR13843905	PRJNA705804; PRJNA514245	F1:A2:B20	Unclustered (Singleton)	4																																																				
AusGEM_01948	HOS85	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103577	NA	SRR13843904	PRJNA705804; PRJNA514245	F1:A2:B-	148	4																																																				
AusGEM_01949	HOS86	131	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN18103578	NA	SRR13843903	PRJNA705804; PRJNA514245	F-:A2:B20	Unclustered (Singleton)	4																																																				
AusGEM_01950	HOS87	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103579	NA	SRR13843923	PRJNA705804; PRJNA514245	F29:A-:B10	985	4																																																				
AusGEM_01951	HOS88	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103580	NA	SRR13843922	PRJNA705804; PRJNA514245	F1:A2:B20	148	4																																																				
AusGEM_01952	HOS89	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103581	NA	SRR13843921	PRJNA705804; PRJNA514245	F2:A1:B-	Unclustered (Singleton)	4																																																				
AusGEM_01953	HOS90	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103582	NA	SRR13843920	PRJNA705804; PRJNA514245	F1:A2:B20	148	4																																																				
AusGEM_01954	HOS91	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103583	NA	SRR13843919	PRJNA705804; PRJNA514245	F1:A2:B20	565	4																																																				
AusGEM_01955	HOS92	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103584	NA	SRR13843918	PRJNA705804; PRJNA514245	F2:A1:B23	2031	4																																																				
AusGEM_01956	HOS93	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103585	NA	SRR13843917	PRJNA705804; PRJNA514245	F2:A1:B23	2031	4																																																				
AusGEM_01957	HOS94	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103586	NA	SRR13843916	PRJNA705804; PRJNA514245	F2:A2:B20	Unclustered (Singleton)	4																																																				
AusGEM_01958	HOS95	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103587	NA	SRR13843915	PRJNA705804; PRJNA514245	F1:A2:B20	78	4																																																				
AusGEM_01959	HOS96	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103588	NA	SRR13843914	PRJNA705804; PRJNA514245	F29:A-:B10	Unclustered (Singleton)	25																																																				
AusGEM_01960	HOS97	131	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN18103589	NA	SRR13843912	PRJNA705804; PRJNA514245	F36?/C3?*:A1:B20	Unclustered (Singleton)	4																																																				
AusGEM_01961	HOS98	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN18103590	NA	SRR13843911	PRJNA705804; PRJNA514245	F-:A2:B-	Unclustered (Singleton)	4																																																				
AusGEM_01962	HOS99	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN18103591	NA	SRR13843910	PRJNA705804; PRJNA514245	F35!/F1!:A2:B-	148	4																																																				
AusGEM_01963	AG02-D3-lq-2	297	Food	Food	Other	2021	AusGEM	NSW	SAMN41516048	NA	SRR29230020	PRJNA1112076	C4:A5:B1	1099	33																																																				
AusGEM_01964	AG02-D3-1	297	Food	Food	Other	2021	AusGEM	NSW	SAMN41516049	NA	SRR29230021	PRJNA1112076	C4:A5:B1	1099	33																																																				
AusGEM_01965	AG02-D3-lq-3	297	Food	Food	Other	2021	AusGEM	NSW	SAMN41516050	NA	SRR29230022	PRJNA1112076	C4:A5:B1	1099	33																																																				
AusGEM_01966	AG06-C2-lq-18	641	Food	Food	Other	2021	AusGEM	NSW	SAMN41516051	NA	SRR29230024	PRJNA1112076	F-:A-:B-	Unclustered (Singleton)	29_1156																																																				
AusGEM_01967	AG06-C6-1-44PBWC	1049	Food	Food	Other	2021	AusGEM	NSW	SAMN41516052	NA	SRR29230025	PRJNA1112076	F-:A-:B-	201	11																																																				
AusGEM_01968	AG07-B11-lq-2	583	Environmental	Water	Other	2021	AusGEM	NSW	SAMN41516053	NA	SRR29230026	PRJNA1112076	F79*:A19*:B-	Unclustered (Singleton)	59																																																				
AusGEM_01969	2009_10	69	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516054	NA	SRR29230027	PRJNA1112076	F29:A-:B10	86	10																																																				
AusGEM_01970	2009_11	38	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516055	NA	SRR29230028	PRJNA1112076	F43/C4:A6*:B10	194	20_785																																																				
AusGEM_01971	2009_12	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516056	NA	SRR29230029	PRJNA1112076	C4:A-:B1	1349	9_1394																																																				
AusGEM_01972	2009_13	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516057	NA	SRR29230030	PRJNA1112076	F51:A-:B10	84	8																																																				
AusGEM_01973	2009_14	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516058	NA	SRR29230031	PRJNA1112076	F51!/F2!:A-:B10	128	8																																																				
AusGEM_01974	2009_15	69	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516059	NA	SRR29230032	PRJNA1112076	F29:A-:B10	502	10																																																				
AusGEM_01975	2009_16	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516060	NA	SRR29230033	PRJNA1112076	F51!/F2!:A-:B10	128	8																																																				
AusGEM_01976	2009_17	69	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516061	NA	SRR29230003	PRJNA1112076	F29:A-:B10	502	10																																																				
AusGEM_01977	2009_1	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516062	NA	SRR29230004	PRJNA1112076	F1:A2:B20	Unclustered (Singleton)	4																																																				
AusGEM_01978	2009_20	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516063	NA	SRR29230005	PRJNA1112076	F1:A2:B20	78	4																																																				
AusGEM_01979	2009_21	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516064	NA	SRR29230006	PRJNA1112076	F51:A-:B10	192	8																																																				
AusGEM_01980	2009_23	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516065	NA	SRR29230007	PRJNA1112076	C4:A-:B1	1349	9_1394																																																				
AusGEM_01981	2009_24	648	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516066	NA	SRR29230008	PRJNA1112076	F1:A1:B1	96	31_757_1000																																																				
AusGEM_01982	2009_25	648	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516067	NA	SRR29230009	PRJNA1112076	F1:A1:B1	96	31_757_1000																																																				
AusGEM_01983	2009_26	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516068	NA	SRR29230010	PRJNA1112076	F2:A-:B1	Unclustered (Singleton)	9_1394																																																				
AusGEM_01984	2009_28	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516069	NA	SRR29230011	PRJNA1112076	C4:A-:B1	1349	9_1394																																																				
AusGEM_01985	2009_29	569	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516070	NA	SRR29230012	PRJNA1112076	F29:A-:B10	160	78																																																				
AusGEM_01986	2009_2	80	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516071	NA	SRR29230014	PRJNA1112076	F4/C4:A6:B26	Unclustered (Singleton)	66																																																				
AusGEM_01987	2009_30	405	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516072	NA	SRR29230015	PRJNA1112076	F-:A-:B-	Unclustered (Singleton)	24																																																				
AusGEM_01988	2009_31	38	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516073	NA	SRR29230016	PRJNA1112076	F-:A-:B-	15	20_785																																																				
AusGEM_01989	2009_32	7390	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516074	NA	SRR29230017	PRJNA1112076	F51:A-:B10	Unclustered (Singleton)	22																																																				
AusGEM_01990	2009_33	12	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516075	NA	SRR29230066	PRJNA1112076	F64!/F40!:A-:B59	Unclustered (Singleton)	17																																																				
AusGEM_01991	2009_34	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516076	NA	SRR29230067	PRJNA1112076	C4:A-:B1	1349	9_1394																																																				
AusGEM_01992	2009_35	46	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516077	NA	SRR29230068	PRJNA1112076	F36?/C3?*:A1:B1	Unclustered (Singleton)	62																																																				
AusGEM_01993	2009_36	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516078	NA	SRR29230069	PRJNA1112076	F2:A-:B1	53	4																																																				
AusGEM_01994	2009_37	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516079	NA	SRR29230070	PRJNA1112076	F29:A-:B10	47	25																																																				
AusGEM_01995	2009_38	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516080	NA	SRR29230071	PRJNA1112076	F-:A-:B-	1193	8																																																				
AusGEM_01996	2009_39	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516081	NA	SRR29230073	PRJNA1112076	C4:A-:B1	9	9_1394																																																				
AusGEM_01997	2009_3	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516082	NA	SRR29230074	PRJNA1112076	F51:A-:B10	84	8																																																				
AusGEM_01998	2009_40	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516083	NA	SRR29230075	PRJNA1112076	F29*:A-:B10	Unclustered (Singleton)	9_1394																																																				
AusGEM_01999	2009_41	10	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516084	NA	SRR29230076	PRJNA1112076	F98!/F2!:A-:B65	Unclustered (Singleton)	5_1020_1036_1160																																																				
AusGEM_02000	2009_42	457	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516085	NA	SRR29230077	PRJNA1112076	F24:A-:B1	151	75_529_1051																																																				
AusGEM_02001	2009_43	69	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516086	NA	SRR29230078	PRJNA1112076	K15:A-:B-	Unclustered (Singleton)	10																																																				
AusGEM_02002	2009_44	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516087	NA	SRR29230079	PRJNA1112076	F51:A-:B10	64	8																																																				
AusGEM_02003	2009_45	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516088	NA	SRR29230080	PRJNA1112076	F-:A1:B1	1193	8																																																				
AusGEM_02004	2009_46	127	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN19340331	NA	SRR14654493	PRJNA732725	F1*:A1:B1	Unclustered (Singleton)	22																																																				
AusGEM_02005	2009_47	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516089	NA	SRR29230081	PRJNA1112076	F36:A1:B20	40	4																																																				
AusGEM_02006	2009_49	58	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516090	NA	SRR29230098	PRJNA1112076	F2:A-:B1	Unclustered (Singleton)	11																																																				
AusGEM_02007	2009_4	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516091	NA	SRR29230100	PRJNA1112076	F51:A-:B10	355	8																																																				
AusGEM_02009	2009_51	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516092	NA	SRR29230101	PRJNA1112076	F2:A1:B-	91	4																																																				
AusGEM_02010	2009_53	9762	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516093	NA	SRR29230102	PRJNA1112076	F-:A-:B-	Unclustered (Singleton)	5_1020_1036_1160																																																				
AusGEM_02011	2009_54	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516094	NA	SRR29230103	PRJNA1112076	F24!/F2!:A-:B8	Unclustered (Singleton)	4																																																				
AusGEM_02012	2009_55	12	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516095	NA	SRR29230104	PRJNA1112076	F1:A1:B20	1939	17																																																				
AusGEM_02013	2009_56	93	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516096	NA	SRR29230105	PRJNA1112076	F-:A-:B-	Unclustered (Singleton)	45																																																				
AusGEM_02014	2009_57	12	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516097	NA	SRR29230106	PRJNA1112076	F1:A1:B20	1939	17																																																				
AusGEM_02015	2009_58	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516098	NA	SRR29230107	PRJNA1112076	F51:A-:B10	Unclustered (Singleton)	9_1394																																																				
AusGEM_02016	2009_59	95	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516099	NA	SRR29230108	PRJNA1112076	C4:A-:B1	9	9_1394																																																				
AusGEM_02017	2009_5	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516100	NA	SRR29230109	PRJNA1112076	F2:A1:B-	91	4																																																				
AusGEM_02018	2009_6	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516101	NA	SRR29230111	PRJNA1112076	F51:A-:B10	355	8																																																				
AusGEM_02019	2009_7	131	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516102	NA	SRR29230112	PRJNA1112076	F2:A1:B-	91	4																																																				
AusGEM_02020	2009_8	73	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516103	NA	SRR29230113	PRJNA1112076	F51:A-:B10	Unclustered (Singleton)	8																																																				
AusGEM_02021	2009_9	12	Human	Human	Extraintestinal	2009	AusGEM	NSW	SAMN41516104	NA	SRR29230034	PRJNA1112076	F51:A-:B10	18	17																																																				
AusGEM_02022	2010_64	73	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN41516105	NA	SRR29230035	PRJNA1112076	F51:A-:B10	Unclustered (Singleton)	8																																																				
AusGEM_02023	2010_65	38	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN41516106	NA	SRR29230036	PRJNA1112076	F36!/F31!:A4:B10	228	20_785																																																				
AusGEM_02024	2010_66	131	Human	Human	Extraintestinal	2010	AusGEM	NSW	SAMN41516107	NA	SRR29230037	PRJNA1112076	F1:A2:B20	148	4																																																				
AusGEM_02025	2011_68	95	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516108	NA	SRR29230038	PRJNA1112076	C4:A-:B1	1349	9_1394																																																				
AusGEM_02026	2011_69	73	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516109	NA	SRR29230039	PRJNA1112076	F51:A-:B10	579	8																																																				
AusGEM_02027	2011_70	95	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516110	NA	SRR29230040	PRJNA1112076	F51:A-:B10	294	9_1394																																																				
AusGEM_02028	2011_71	59	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516111	NA	SRR29230042	PRJNA1112076	F29:A-:B10	Unclustered (Singleton)	32																																																				
AusGEM_02030	2011_73	95	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516112	NA	SRR29230043	PRJNA1112076	C4:A-:B1	9	9_1394																																																				
AusGEM_02031	2011_74	648	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516113	NA	SRR29230044	PRJNA1112076	F1:A1:B1	4	31_757_1000																																																				
AusGEM_02032	2011_75	648	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516114	NA	SRR29230045	PRJNA1112076	F1:A1:B1	4	31_757_1000																																																				
AusGEM_02033	2011_76	131	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516115	NA	SRR29230046	PRJNA1112076	F2:A1:B-	157	4																																																				
AusGEM_02035	2011_80	23	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516116	NA	SRR29230047	PRJNA1112076	F2:A-:B1	447	12																																																				
AusGEM_02036	2011_81	23	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516117	NA	SRR29230048	PRJNA1112076	F2:A-:B1	447	12																																																				
AusGEM_02037	2011_82	73	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516118	NA	SRR29230091	PRJNA1112076	F-:A-:B-	Unclustered (Singleton)	8																																																				
AusGEM_02038	2011_83	127	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN19340332	NA	SRR14654492	PRJNA732725	F51:A-:B10	548	22																																																				
AusGEM_02039	2011_84	69	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516119	NA	SRR29230118	PRJNA1112076	F29:A-:B10	435	10																																																				
AusGEM_02040	2011_86	101	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516120	NA	SRR29230129	PRJNA1112076	F24:A-:B1	Unclustered (Singleton)	27																																																				
AusGEM_02041	2011_87	95	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516121	NA	SRR29230060	PRJNA1112076	C4:A-:B1	1349	9_1394																																																				
AusGEM_02042	2011_88	648	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516122	NA	SRR29230023	PRJNA1112076	F2!/F1!:A1:B1	4	31_757_1000																																																				
AusGEM_02043	2011_89	127	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN19340333	NA	SRR14654491	PRJNA732725	F51:A-:B10	548	22																																																				
AusGEM_02044	2011_90	131	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516123	NA	SRR29230002	PRJNA1112076	F1:A2:B20	46	4																																																				
AusGEM_02045	2011_91	648	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516124	NA	SRR29230013	PRJNA1112076	F2:A1:B1	361	31_757_1000																																																				
AusGEM_02046	2011_92	127	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN19340334	NA	SRR14654490	PRJNA732725	F29:A-:B10	Unclustered (Singleton)	22																																																				
AusGEM_02047	2011_93	73	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516125	NA	SRR29230072	PRJNA1112076	F51:A-:B10	192	8																																																				
AusGEM_02048	2011_94	69	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516126	NA	SRR29230099	PRJNA1112076	F2!/F1!:A1:B66	29	10																																																				
AusGEM_02049	2011_95	69	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516127	NA	SRR29230110	PRJNA1112076	F29:A-:B10	Unclustered (Singleton)	10																																																				
AusGEM_02050	2011_96	69	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516128	NA	SRR29230041	PRJNA1112076	F29:A-:B10	502	10																																																				
AusGEM_02051	2011_97	127	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN19340335	NA	SRR14654489	PRJNA732725	F51:A-:B10	548	22																																																				
AusGEM_02052	2011_98	73	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516129	NA	SRR29230130	PRJNA1112076	F51:A-:B10	192	8																																																				
AusGEM_02053	2011_99	95	Human	Human	Extraintestinal	2011	AusGEM	NSW	SAMN41516130	NA	SRR29230131	PRJNA1112076	C4:A-:B1	9	9_1394																																																				
AUSMDU00003540	AUSMDU00003540	963	Human	Human	Unknown	2013	MDU	VIC	SAMN12342788	NA	SRR9734751	PRJNA529744	F29:A-:B10	62	136																																																				
AUSMDU00003549	AUSMDU00003549	38	Human	Human	Unknown	2014	MDU	VIC	SAMN41063916	NA	SRR28786230	PRJNA857526	F-:A-:B-	116	20_785																																																				
AUSMDU00003552	AUSMDU00003552	38	Human	Human	Unknown	2014	MDU	VIC	SAMN12342854	NA	SRR9734648	PRJNA529744	F-:A-:B-	125	20_785																																																				
AUSMDU00003572	AUSMDU00003572	410	Human	Human	Extraintestinal	2014	MDU	VIC	SAMN12342895	NA	SRR9734547	PRJNA529744	F1:A1:B49	639	12																																																				
AUSMDU00003579	AUSMDU00003579	448	Human	Human	Unknown	2015	MDU	VIC	SAMN12342920	NA	SRR9734779	PRJNA529744	F48:A1:B49	1203	90																																																				
AUSMDU00003583	AUSMDU00003583	95	Human	Human	Extraintestinal	2006	MDU	VIC	SAMN41063921	NA	SRR28786111	PRJNA857526	F24!/F2!:A-:B1	Unclustered (Singleton)	9_1394																																																				
AUSMDU00004541	AUSMDU00004541	448	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343012	NA	SRR9734537	PRJNA529744	F48:A1:B49	Unclustered (Singleton)	90																																																				
AUSMDU00004542	AUSMDU00004542	648	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343013	NA	SRR9734534	PRJNA529744	F44!/F35!/F1!:A1:B1	250	31_757_1000																																																				
AUSMDU00004616	AUSMDU00004616	405	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN12343014	NA	SRR9734535	PRJNA529744	F2!/F1!:A1:B-	215	24																																																				
AUSMDU00004618	AUSMDU00004618	154	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343016	NA	SRR9734533	PRJNA529744	F56!/F2!:A4?*:B16	Unclustered (Singleton)	50																																																				
AUSMDU00004632	AUSMDU00004632	410	Environmental	Environmental	Other	2016	MDU	VIC	SAMN41063930	NA	SRR28786171	PRJNA857526	F36!/F31!/K2:A4:B1	30	12																																																				
AUSMDU00004779	AUSMDU00004779	167	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343022	NA	SRR9734793	PRJNA529744	F-:A-:B-	Unclustered (Singleton)	5_1020_1036_1160																																																				
AUSMDU00004797	AUSMDU00004797	1702	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343026	NA	SRR9734797	PRJNA529744	F36:A4:B-	99	5_1020_1036_1160																																																				
AUSMDU00004814	AUSMDU00004814	10	Human	Human	Unknown	2016	MDU	VIC	SAMN12343005	NA	SRR9734543	PRJNA529744	F16?:A-:B1	Unclustered (Singleton)	5_1020_1036_1160																																																				
AUSMDU00004837	AUSMDU00004837	359	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343027	NA	SRR9734802	PRJNA529744	C4:A-:B1	Unclustered (Singleton)	27																																																				
AUSMDU00004839	AUSMDU00004839	156	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN12343029	NA	SRR9734690	PRJNA529744	F-:A-:B-	Unclustered (Singleton)	69																																																				
AUSMDU00004890	AUSMDU00004890	405	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN12343036	NA	SRR9734689	PRJNA529744	F2:A-:B33	338	24																																																				
AUSMDU00004893	AUSMDU00004893	648	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343037	NA	SRR9734726	PRJNA529744	F1:A1:B1	Unclustered (Singleton)	31_757_1000																																																				
AUSMDU00004933	AUSMDU00004933	963	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN41063931	NA	SRR28786160	PRJNA857526	F29:A-:B10	62	136																																																				
AUSMDU00004984	AUSMDU00004984	405	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN12343035	NA	SRR9734688	PRJNA529744	F2:A1:B49	356	24																																																				
AUSMDU00004991	AUSMDU00004991	410	Human	Human	Unknown	2013	MDU	VIC	SAMN12342787	NA	SRR9734750	PRJNA529744	F36!/F31!:A4:B1	300	12																																																				
AUSMDU00004992	AUSMDU00004992	410	Human	Human	Unknown	2013	MDU	VIC	SAMN12342792	NA	SRR9734586	PRJNA529744	F1:A1:B49	639	12																																																				
AUSMDU00004997	AUSMDU00004997	401	Human	Human	Unknown	2013	MDU	VIC	SAMN12342803	NA	SRR9734809	PRJNA529744	F-:A-:B-	Unclustered (Singleton)	154																																																				
AUSMDU00005005	AUSMDU00005005	648	Human	Human	Extraintestinal	2014	MDU	VIC	SAMN12342832	NA	SRR9734562	PRJNA529744	F1:A1:B1	24	31_757_1000																																																				
AUSMDU00005010	AUSMDU00005010	410	Human	Human	Extraintestinal	2014	MDU	VIC	SAMN12342853	NA	SRR9734649	PRJNA529744	F1:A1:B49	639	12																																																				
AUSMDU00005011	AUSMDU00005011	69	Human	Human	Extraintestinal	2014	MDU	VIC	SAMN12342857	NA	SRR9734741	PRJNA529744	F10:A-:B64	251	10																																																				
AUSMDU00005018	AUSMDU00005018	963	Human	Human	Unknown	2014	MDU	VIC	SAMN12342891	NA	SRR9734551	PRJNA529744	F29:A-:B10	62	136																																																				
AUSMDU00005025	AUSMDU00005025	410	Human	Human	Extraintestinal	2015	MDU	VIC	SAMN12342911	NA	SRR9734855	PRJNA529744	F1:A1:B49	639	12																																																				
AUSMDU00005026	AUSMDU00005026	131	Human	Human	Unknown	2015	MDU	VIC	SAMN12342912	NA	SRR9734854	PRJNA529744	F35:A2:B20	148	4																																																				
AUSMDU00005029	AUSMDU00005029	38	Human	Human	Extraintestinal	2015	MDU	VIC	SAMN12342928	NA	SRR9734771	PRJNA529744	F40:A-:B-	Unclustered (Singleton)	20_785																																																				
AUSMDU00005057	AUSMDU00005057	1867	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN41063932	NA	SRR28786149	PRJNA857526	F25*:A6:B42	Unclustered (Singleton)	1449																																																				
AUSMDU00005058	AUSMDU00005058	405	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN12343044	NA	SRR9734580	PRJNA529744	F2:A1:B49	356	24																																																				
AUSMDU00005074	AUSMDU00005074	354	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN41063933	NA	SRR28786074	PRJNA857526	F2:A1:B32	Unclustered (Singleton)	76_548																																																				
AUSMDU00005204	AUSMDU00005204	405	Human	Human	Intestinal	2016	MDU	VIC	SAMN12343058	NA	SRR9734847	PRJNA529744	F36:A1:B37	227	24																																																				
AUSMDU00005210	AUSMDU00005210	335	Human	Human	Intestinal	2016	MDU	VIC	SAMN41063929	NA	SRR28785913	PRJNA857526	F35:A-:B15	Unclustered (Singleton)	1																																																				
AUSMDU00005223	AUSMDU00005223	11	Human	Human	Intestinal	2016	MDU	VIC	SAMN10967747	NA	SRR8592091	PRJNA319594	F23:A6?*:B3?	Unclustered (Singleton)	1																																																				
AUSMDU00005224	AUSMDU00005224	21	Human	Human	Intestinal	2016	MDU	VIC	SAMN10967748	NA	SRR8592094	PRJNA319594	F-:A-:B11	Unclustered (Singleton)	2																																																				
AUSMDU00005233	AUSMDU00005233	11	Human	Human	Intestinal	2016	MDU	VIC	SAMN10967752	NA	SRR8592098	PRJNA319594	F23:A16?*:B3	167	1																																																				
AUSMDU00005897	AUSMDU00005897	95	Human	Human	Extraintestinal	2016	MDU	VIC	SAMN41063934	NA	SRR28786063	PRJNA857526	F51:A-:B10	141	9_1394																																																				
AUSMDU00006419	AUSMDU00006419	131	Human	Human	Extraintestinal	2017	MDU	VIC	SAMN31262638	NA	SRR21883721	PRJNA857526	F1:A2:B20	12	25																																																				
