name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
NC_025186		NC_025186	33012	33800	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206317.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1		
NC_025186		NC_025186	33856	34485	+	catB2	type B-2 chloramphenicol O-acetyltransferase CatB2	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.0	100.0	210	WP_012477387.1	type B-2 chloramphenicol O-acetyltransferase CatB2		
NC_025186		NC_025186	34657	35001	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
NC_025186		NC_025186	34998	35834	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
NC_025186		NC_025186	41151	42053	-	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
CP003314		CP003314	326	1150	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
CP003314		CP003314	1422	2234	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
CP039312		CP039312	59614	60039	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR		
CP039312		CP039312	60129	60473	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	115	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT		
CP039312		CP039312	61259	62941	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.0	93.23	561	ACU65296.1	mercury(II) reductase		
CP039312		CP039312	62962	63324	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.0	90.08	121	AAC38221.1	mercury resistance co-regulator MerD		
CP039312		CP039312	63324	63557	+	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	78	78	100.0	96.15	78	AAC38236.1	broad-spectrum mercury transporter MerE		
KX147633		KX147633	3132	3956	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
KX147633		KX147633	3959	4792	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
KX147633		KX147633	83764	84906	+	blaCMY-6	class C beta-lactamase CMY-6	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.0	100.0	381	WP_015058212.1	class C beta-lactamase CMY-6		
KX147633		KX147633	129292	129843	+	aac(6')-Ib3	aminoglycoside N-acetyltransferase AAC(6')-Ib3	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	ALLELEX	184	184	100.0	100.0	184	WP_032488579.1	aminoglycoside N-acetyltransferase AAC(6')-Ib3		
KX147633		KX147633	130015	130359	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
KX147633		KX147633	130356	131192	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
KX147633		KX147633	137453	138295	-	rmtC	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTX	281	281	100.0	100.0	281	WP_000855769.1	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase		
KX147633		KX147633	139450	140259	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1		
KX147633		KX147633	140266	140628	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
KX147633		KX147633	141217	142011	-	blaDHA	DHA family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALX	265	379	69.92	100.0	265	WP_004236386.1	class C beta-lactamase DHA-1		
KX147633		KX147633	151545	152372	-	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
KX147633		KX147633	152506	153057	-	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
NC_013324		NC_013324	3159	4622	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	488	488	100.0	100.0	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)		
NC_013324		NC_013324	4724	5620	+	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.0	100.0	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase		
NC_013324		NC_013324	6930	7493	-	qacR	multidrug-binding transcriptional regulator QacR	plus	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	188	188	100.0	99.47	188	ADK23698.1	multidrug-binding transcriptional regulator QacR		
NC_013324		NC_013324	7671	9212	+	qacB	quaternary ammonium compound efflux MFS transporter QacB	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.0	99.61	514	WP_000622778.1	quaternary ammonium compound efflux MFS transporter QacB		
NC_013324		NC_013324	15733	16347	+	cadD	cadmium resistance transporter CadD	plus	STRESS	METAL	CADMIUM	CADMIUM	EXACTX	205	205	100.0	100.0	205	BAB43874.1	cadmium resistance transporter CadD		
NC_013324		NC_013324	19180	20022	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	281	281	100.0	100.0	281	WP_000733287.1	penicillin-hydrolyzing class A beta-lactamase BlaZ		
NC_013324		NC_013324	20129	21883	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	585	585	100.0	95.38	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1		
NC_013324		NC_013324	21876	22253	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.0	98.41	126	WP_001284656.1	penicillinase repressor BlaI		
NC_013324		NC_013324	25461	26252	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.0	100.0	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa		
NC_013324		NC_013324	26348	26875	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	176	180	100.0	97.78	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4		
NC_013324		NC_013324	26875	27507	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	INTERNAL_STOP	211	302	69.87	99.53	211	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia		
CP039931		CP039931	61767	62588	+	blaOXA	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	274	274	100.0	98.91	274	WP_001021781.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-90		
CP017784		CP017784	11356	12528	-	tet(G)	tetracycline efflux MFS transporter Tet(G)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	391	391	100.0	100.0	391	WP_001257840.1	tetracycline efflux MFS transporter Tet(G)		
CP017784		CP017784	13468	14679	-	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.0	96.29	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR		
MH430883		MH430883	64251	65123	+	blaCTX-M-130	class A extended-spectrum beta-lactamase CTX-M-130	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.0	100.0	291	WP_063859949.1	class A extended-spectrum beta-lactamase CTX-M-130		
CP007729		CP007729	44389	45045	+	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.0	100.0	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase		
CP007729		CP007729	51059	51553	+	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12		
CP007729		CP007729	51964	52752	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
CP007729		CP007729	52919	53263	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
CP007729		CP007729	53260	54096	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
CP007729		CP007729	59413	60315	-	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
CP007729		CP007729	61292	62104	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia		
CP007729		CP007729	74726	75292	+	hsp20	small heat shock protein sHSP20	plus	STRESS	HEAT			EXACTX	189	189	100.0	100.0	189	CDY80020.1	small heat shock protein sHSP20		
CP007729		CP007729	87651	87998	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTX	116	116	100.0	100.0	116	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR		
CP007729		CP007729	88051	88410	+	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.0	91.67	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD		
CP007729		CP007729	88431	90179	+	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	583	583	100.0	100.0	583	BAA24822.1	arsenite efflux transporter ATPase subunit ArsA		
CP007729		CP007729	99996	100427	-	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.0	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE		
CP007729		CP007729	100647	102044	-	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTX	466	466	100.0	99.14	466	CAA58530.1	copper resistance membrane spanning protein PcoS		
CP007729		CP007729	102044	102721	-	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100.0	100.0	226	CAA58529.1	copper response regulator transcription factor PcoR		
CP007729		CP007729	102779	103705	-	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTX	309	309	100.0	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD		
CP007729		CP007729	103713	104090	-	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTX	126	126	100.0	100.0	126	CAA58527.1	copper resistance system metallochaperone PcoC		
CP007729		CP007729	104133	105020	-	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	EXACTX	296	296	100.0	100.0	296	CAA58526.1	copper-binding protein PcoB		
CP007729		CP007729	105029	106843	-	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTX	605	605	100.0	99.83	605	CAA58525.1	multicopper oxidase PcoA		
CP007729		CP007729	108827	111292	-	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTX	822	824	99.64	94.53	823	AAD11750.1	Ag(+)-translocating P-type ATPase SilP		
CP007729		CP007729	111928	115071	-	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	1048	1048	100.0	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA		
CP007729		CP007729	115085	116374	-	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	430	430	100.0	97.67	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB		
CP007729		CP007729	116491	116841	-	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	117	117	100.0	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF		
CP007729		CP007729	116873	118255	-	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	461	461	100.0	100.0	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC		
CP007729		CP007729	118445	119122	+	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	226	226	100.0	100.0	226	SPD96883.1	copper/silver response regulator transcription factor SilR		
CP007729		CP007729	119118	120590	+	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	491	491	100.0	100.0	491	SPD96882.1	copper/silver sensor histidine kinase SilS		
CP007729		CP007729	120844	121272	+	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTX	143	143	100.0	91.61	143	AAD11743.1	silver-binding protein SilE		
CP018718		CP018718	4135	4788	-	qnrS1	quinolone resistance pentapeptide repeat protein QnrS1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	218	218	100.0	100.0	218	WP_001516695.1	quinolone resistance pentapeptide repeat protein QnrS1		
CP018718		CP018718	6037	6894	-	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
CP018718		CP018718	9716	10588	+	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.0	100.0	291	WP_000239590.1	class A extended-spectrum beta-lactamase CTX-M-15		
CP018718		CP018718	19302	20135	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
CP018718		CP018718	20138	20962	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
CP018718		CP018718	51034	52230	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
CP018718		CP018718	53463	53933	+	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_000777554.1	trimethoprim-resistant dihydrofolate reductase DfrA1		
CP018718		CP018718	54640	54984	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
CP018718		CP018718	54981	55817	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
NC_021570		NC_021570	38	679	+	qnrD1	quinolone resistance pentapeptide repeat protein QnrD1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.0	100.0	214	WP_012634451.1	quinolone resistance pentapeptide repeat protein QnrD1		
CP019210		CP019210	12	803	+	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.0	100.0	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa		
CP019210		CP019210	1556	2290	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	245	245	100.0	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)		
CP019210		CP019210	25899	26381	-	vanZ-A	glycopeptide resistance protein VanZ-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	161	161	100.0	100.0	161	WP_000516404.1	glycopeptide resistance protein VanZ-A		
CP019210		CP019210	26537	27445	-	vanY-A	D-Ala-D-Ala carboxypeptidase VanY-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	303	303	100.0	100.0	303	WP_001812592.1	D-Ala-D-Ala carboxypeptidase VanY-A		
CP019210		CP019210	28518	29123	-	vanX-A	D-Ala-D-Ala dipeptidase VanX-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	202	202	100.0	100.0	202	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A		
CP019210		CP019210	29132	30160	-	vanA	D-alanine--(R)-lactate ligase VanA	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	343	343	100.0	100.0	343	WP_001079845.1	D-alanine--(R)-lactate ligase VanA		
CP019210		CP019210	30156	31121	-	vanH-A	D-lactate dehydrogenase VanH-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	322	322	100.0	100.0	322	WP_001059542.1	D-lactate dehydrogenase VanH-A		
CP019210		CP019210	31339	32490	-	vanS-A	VanA-type vancomycin resistance histidine kinase VanS	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	384	384	100.0	100.0	384	WP_002305818.1	VanA-type vancomycin resistance histidine kinase VanS		
CP019210		CP019210	32471	33163	-	vanR-A	VanA-type vancomycin resistance DNA-binding response regulator VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	231	231	100.0	100.0	231	WP_001280781.1	VanA-type vancomycin resistance DNA-binding response regulator VanR		
CP028602		CP028602	4346	6553	+	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE			EXACTX	736	736	100.0	100.0	736	BAA31832.1	catalase/peroxidase KatP		
CP028602		CP028602	8215	12114	+	espP	serine protease autotransporter EspP	plus	VIRULENCE	VIRULENCE			EXACTX	1300	1300	100.0	100.0	1300	BAA31836.1	serine protease autotransporter EspP		
CP028602		CP028602	26105	28069	+	etpD	variant type II secretion system secretin EtpD	plus	VIRULENCE	VIRULENCE			BLASTX	655	656	99.85	94.5	655	BAI33940.1	variant type II secretion system secretin EtpD		
CP028602		CP028602	39252	42245	+	ehxA	enterohemolysin EhxA	plus	VIRULENCE	VIRULENCE			BLASTX	998	998	100.0	99.9	998	BAA31774.1	enterohemolysin EhxA		
CP028602		CP028602	78049	87555	+	toxB	toxin B	plus	VIRULENCE	VIRULENCE			BLASTX	3169	3169	100.0	99.94	3169	BAA31815.1	toxin B		
NC_015698		NC_015698	6666	7148	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.0	100.0	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)		
CP014669		CP014669	15984	16862	+	blaKPC-3	carbapenem-hydrolyzing class A beta-lactamase KPC-3	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004152396.1	carbapenem-hydrolyzing class A beta-lactamase KPC-3		
MK471334		MK471334	5894	6775	-	blaFRI-3	carbapenem-hydrolyzing class A beta-lactamase FRI-3	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	294	294	100.0	100.0	294	WP_085562397.1	carbapenem-hydrolyzing class A beta-lactamase FRI-3		
KU950310		KU950310	28179	29003	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
KU950310		KU950310	29006	29839	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
NC_023321		NC_023321	1056	1697	+	qnrD1	quinolone resistance pentapeptide repeat protein QnrD1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.0	100.0	214	WP_012634451.1	quinolone resistance pentapeptide repeat protein QnrD1		
CP030765		CP030765	7968	10961	-	ehxA	enterohemolysin EhxA	plus	VIRULENCE	VIRULENCE			BLASTX	998	998	100.0	99.9	998	BAA31774.1	enterohemolysin EhxA		
CP030765		CP030765	22144	24108	-	etpD	variant type II secretion system secretin EtpD	plus	VIRULENCE	VIRULENCE			BLASTX	655	656	99.85	94.5	655	BAI33940.1	variant type II secretion system secretin EtpD		
CP030765		CP030765	38088	41987	-	espP	serine protease autotransporter EspP	plus	VIRULENCE	VIRULENCE			EXACTX	1300	1300	100.0	100.0	1300	BAA31836.1	serine protease autotransporter EspP		
CP030765		CP030765	43649	45856	-	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE			EXACTX	736	736	100.0	100.0	736	BAA31832.1	catalase/peroxidase KatP		
CP030765		CP030765	57256	66762	-	toxB	toxin B	plus	VIRULENCE	VIRULENCE			BLASTX	3169	3169	100.0	99.94	3169	BAA31815.1	toxin B		
CP025481		CP025481	2286	2900	+	cadD	cadmium resistance transporter CadD	plus	STRESS	METAL	CADMIUM	CADMIUM	EXACTX	205	205	100.0	100.0	205	BAB43874.1	cadmium resistance transporter CadD		
CP029666		CP029666	7469	8311	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.0	99.64	281	WP_000733287.1	penicillin-hydrolyzing class A beta-lactamase BlaZ		
CP029666		CP029666	8418	10172	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	585	585	100.0	95.38	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1		
CP029666		CP029666	10165	10542	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.0	98.41	126	WP_001284656.1	penicillinase repressor BlaI		
CP029666		CP029666	13748	14539	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.0	100.0	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa		
CP029666		CP029666	14635	15162	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	BLASTX	176	180	100.0	97.78	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4		
CP029666		CP029666	15162	15794	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	INTERNAL_STOP	211	302	69.87	99.53	211	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia		
