name	resistance	class_includes_CIA_res	resistance_genes_present	genes	Strain_count_of_AMR_gene_classes	Strain_MDR_status	Strain_CIA_status	Strain_count_of_AMR_genes
AUSMDU00015628	Efflux	FALSE	1	acrF*,emrD*,mdtM*	4	1	1	6
AUSMDU00015628	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_L445H	4	1	1	6
AUSMDU00015628	Sulfonamide	FALSE	1	sul2	4	1	1	6
AUSMDU00015628	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	4	1	1	6
AUSMDU00015628	Gentamicin	FALSE	1	aac(3)-IId	4	1	1	6
AUSMDU00019767	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1*	3	1	1	5
AUSMDU00019767	ESBL	TRUE	1	blaCTX-M-14	3	1	1	5
AUSMDU00019767	Efflux	FALSE	1	acrF*,emrD*,mdtM*	3	1	1	5
AUSMDU00019767	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_L445H	3	1	1	5
AUSMDU00019767	Gentamicin	FALSE	1	aac(3)-IId	3	1	1	5
AUSMDU00045655	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1*	4	1	1	7
AUSMDU00045655	ESBL	TRUE	1	blaCTX-M-14	4	1	1	7
AUSMDU00045655	Efflux	FALSE	1	acrF*,emrD*,mdtM*	4	1	1	7
AUSMDU00045655	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_L445H	4	1	1	7
AUSMDU00045655	Sulfonamide	FALSE	1	sul2	4	1	1	7
AUSMDU00045655	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	4	1	1	7
AUSMDU00045655	Gentamicin	FALSE	1	aac(3)-IId	4	1	1	7
AUSMDU00026533	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1*	3	1	1	5
AUSMDU00026533	ESBL	TRUE	1	blaCTX-M-14	3	1	1	5
AUSMDU00026533	Efflux	FALSE	1	acrF*,emrD*,mdtM*	3	1	1	5
AUSMDU00026533	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_L445H	3	1	1	5
AUSMDU00026533	Gentamicin	FALSE	1	aac(3)-IId	3	1	1	5
AUSMDU00032351	ESBL	TRUE	1	blaCTX-M-27	5	1	1	6
AUSMDU00032351	Efflux	FALSE	1	acrF*,emrD*,mdtM*	5	1	1	6
AUSMDU00032351	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	5	1	1	6
AUSMDU00032351	Tetracycline	FALSE	1	tet(A)	5	1	1	6
AUSMDU00032351	Sulfonamide	FALSE	1	sul2	5	1	1	6
AUSMDU00032351	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	5	1	1	6
AUSMDU00011307	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00011307	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00011307	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	7	1	1	8
AUSMDU00011307	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00011307	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00011307	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00011307	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00011307	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00010662	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00010662	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00010662	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	7	1	1	8
AUSMDU00010662	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00010662	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00010662	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00010662	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00010662	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00019501	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00019501	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00019501	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	7	1	1	8
AUSMDU00019501	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00019501	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00019501	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00019501	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00019501	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00015825	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00015825	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00015825	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	7	1	1	8
AUSMDU00015825	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00015825	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00015825	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00015825	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00015825	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00022587	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00022587	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00022587	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	7	1	1	8
AUSMDU00022587	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00022587	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00022587	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00022587	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00022587	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00021682	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00021682	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00021682	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	7	1	1	8
AUSMDU00021682	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00021682	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00021682	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00021682	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00021682	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00020037	ESBL	TRUE	1	blaCTX-M-27	3	1	1	4
AUSMDU00020037	Efflux	FALSE	1	acrF*,emrD*,mdtM*	3	1	1	4
AUSMDU00020037	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_S80I,parE_E460D	3	1	1	4
AUSMDU00020037	Trimethoprim	FALSE	1	dfrA14	3	1	1	4
AusGEM_00812	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	4	1	0	5
AusGEM_00812	Efflux	FALSE	1	acrF*,emrD*,mdtM*	4	1	0	5
AusGEM_00812	Sulfonamide	FALSE	1	sul1	4	1	0	5
AusGEM_00812	Trimethoprim	FALSE	1	dfrA7	4	1	0	5
AusGEM_00812	Chloramphenicol	FALSE	1	catA1	4	1	0	5
ERR5355655	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	1	4
ERR5355655	ESBL	TRUE	1	blaCTX-M-24	2	0	1	4
ERR5355655	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	4
ERR5355655	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	2	0	1	4
AUSMDU00008262	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00008262	ESBL	TRUE	1	blaCTX-M-24	7	1	1	10
AUSMDU00008262	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00008262	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00008262	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00008262	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00008262	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00008262	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00008262	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00008262	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00034360	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	1	4
AUSMDU00034360	ESBL	TRUE	1	blaCTX-M-24	2	0	1	4
AUSMDU00034360	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	4
AUSMDU00034360	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	2	0	1	4
AUSMDU00009583	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	9
AUSMDU00009583	ESBL	TRUE	1	blaCTX-M-24	6	1	1	9
AUSMDU00009583	Efflux	FALSE	1	acrF*,emrD*,mdtM*	6	1	1	9
AUSMDU00009583	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	6	1	1	9
AUSMDU00009583	Sulfonamide	FALSE	1	sul1	6	1	1	9
AUSMDU00009583	Trimethoprim	FALSE	1	dfrA17	6	1	1	9
AUSMDU00009583	Streptomycin	FALSE	1	aadA5	6	1	1	9
AUSMDU00009583	Macrolide	TRUE	1	mph(A)	6	1	1	9
AUSMDU00009583	Gentamicin	FALSE	1	aac(3)-IId	6	1	1	9
AusGEM_00799	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	9
AusGEM_00799	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	9
AusGEM_00799	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	9
AusGEM_00799	Tetracycline	FALSE	1	tet(A)	7	1	1	9
AusGEM_00799	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	9
AusGEM_00799	Trimethoprim	FALSE	1	dfrA17	7	1	1	9
AusGEM_00799	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	9
AusGEM_00799	Macrolide	TRUE	1	mph(A)	7	1	1	9
AusGEM_00799	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	9
ERR5355864	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	3	1	1	4
ERR5355864	Efflux	FALSE	1	acrF*,emrD*,mdtM*	3	1	1	4
ERR5355864	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	3	1	1	4
ERR5355864	Gentamicin	FALSE	1	aac(3)-IId	3	1	1	4
ERR5355897	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	8
ERR5355897	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
ERR5355897	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	8
ERR5355897	Tetracycline	FALSE	1	tet(A)	7	1	1	8
ERR5355897	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
ERR5355897	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
ERR5355897	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
ERR5355897	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00049654	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00049654	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00049654	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00049654	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00049654	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00049654	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00049654	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00049654	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00049654	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00049654	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00034361	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	9
AUSMDU00034361	ESBL	TRUE	1	blaCTX-M-27	7	1	1	9
AUSMDU00034361	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	9
AUSMDU00034361	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	9
AUSMDU00034361	Tetracycline	FALSE	1	tet(A)	7	1	1	9
AUSMDU00034361	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	9
AUSMDU00034361	Trimethoprim	FALSE	1	dfrA17	7	1	1	9
AUSMDU00034361	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	9
AUSMDU00034361	Macrolide	TRUE	1	mph(A)	7	1	1	9
ERR5355771	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
ERR5355771	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
ERR5355771	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
ERR5355771	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
ERR5355771	Tetracycline	FALSE	1	tet(A)	7	1	1	10
ERR5355771	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
ERR5355771	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
ERR5355771	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
ERR5355771	Macrolide	TRUE	1	mph(A)	7	1	1	10
ERR5355771	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00038265	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00038265	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00038265	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00038265	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00038265	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00038265	Sulfonamide	FALSE	1	sul1,sul2*	7	1	1	10
AUSMDU00038265	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00038265	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00038265	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00038265	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
SRR5936479	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
SRR5936479	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
SRR5936479	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
SRR5936479	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
SRR5936479	Tetracycline	FALSE	1	tet(A)	7	1	1	10
SRR5936479	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
SRR5936479	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
SRR5936479	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
SRR5936479	Macrolide	TRUE	1	mph(A)	7	1	1	10
SRR5936479	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00008434	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00008434	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00008434	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00008434	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00008434	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00008434	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00008434	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00008434	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00008434	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00008434	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
SRR5936483	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
SRR5936483	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
SRR5936483	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
SRR5936483	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
SRR5936483	Tetracycline	FALSE	1	tet(A)	7	1	1	10
SRR5936483	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
SRR5936483	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
SRR5936483	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
SRR5936483	Macrolide	TRUE	1	mph(A)	7	1	1	10
SRR5936483	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00007518	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00007518	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00007518	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00007518	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00007518	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00007518	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00007518	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00007518	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00007518	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00007518	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00008380	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	1	4
AUSMDU00008380	ESBL	TRUE	1	blaCTX-M-27	2	0	1	4
AUSMDU00008380	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	4
AUSMDU00008380	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	2	0	1	4
AUSMDU00061620	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00061620	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00061620	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00061620	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00061620	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00061620	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00061620	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00061620	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00061620	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00061620	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00061258	ESBL	TRUE	1	blaCTX-M-27	2	0	1	3
AUSMDU00061258	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	3
AUSMDU00061258	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	2	0	1	3
AUSMDU00016142	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00016142	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00016142	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00016142	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00016142	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00016142	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00016142	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00016142	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00016142	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00016142	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00034362	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	9
AUSMDU00034362	ESBL	TRUE	1	blaCTX-M-27	7	1	1	9
AUSMDU00034362	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	9
AUSMDU00034362	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	9
AUSMDU00034362	Tetracycline	FALSE	1	tet(A)	7	1	1	9
AUSMDU00034362	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	9
AUSMDU00034362	Trimethoprim	FALSE	1	dfrA17	7	1	1	9
AUSMDU00034362	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	9
AUSMDU00034362	Macrolide	TRUE	1	mph(A)	7	1	1	9
ERR5355747	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
ERR5355747	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
ERR5355747	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
ERR5355747	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
ERR5355747	Tetracycline	FALSE	1	tet(A)	7	1	1	10
ERR5355747	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
ERR5355747	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
ERR5355747	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
ERR5355747	Macrolide	TRUE	1	mph(A)	7	1	1	10
ERR5355747	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00063680	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00063680	ESBL	TRUE	1	blaCTX-M-27	7	1	1	10
AUSMDU00063680	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00063680	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00063680	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00063680	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00063680	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00063680	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00063680	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00063680	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
AUSMDU00021208	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	2	0	1	4
AUSMDU00021208	ESBL	TRUE	1	blaCTX-M-27	2	0	1	4
AUSMDU00021208	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	4
AUSMDU00021208	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	2	0	1	4
AUSMDU00067511	ESBL	TRUE	1	blaCTX-M-27	2	0	1	3
AUSMDU00067511	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	3
AUSMDU00067511	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	2	0	1	3
ERR5355712	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	3	1	1	4
ERR5355712	Efflux	FALSE	1	acrF*,emrD*,mdtM*	3	1	1	4
ERR5355712	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	3	1	1	4
ERR5355712	Gentamicin	FALSE	1	aac(3)-IId	3	1	1	4
AUSMDU00007449	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	10
AUSMDU00007449	ESBL	TRUE	1	blaCTX-M-14	7	1	1	10
AUSMDU00007449	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	10
AUSMDU00007449	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	10
AUSMDU00007449	Tetracycline	FALSE	1	tet(A)	7	1	1	10
AUSMDU00007449	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	10
AUSMDU00007449	Trimethoprim	FALSE	1	dfrA17	7	1	1	10
AUSMDU00007449	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	10
AUSMDU00007449	Macrolide	TRUE	1	mph(A)	7	1	1	10
AUSMDU00007449	Gentamicin	FALSE	1	aac(3)-IId	7	1	1	10
SRR11094232	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	9
SRR11094232	ESBL	TRUE	1	blaCTX-M-55	7	1	1	9
SRR11094232	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	9
SRR11094232	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	7	1	1	9
SRR11094232	Tetracycline	FALSE	1	tet(A)	7	1	1	9
SRR11094232	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	9
SRR11094232	Trimethoprim	FALSE	1	dfrA17	7	1	1	9
SRR11094232	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	9
SRR11094232	Macrolide	TRUE	1	mph(A)	7	1	1	9
AusGEM_00747	Efflux	FALSE	1	acrF*,emrD*,mdtM*	6	1	1	7
AusGEM_00747	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	6	1	1	7
AusGEM_00747	Tetracycline	FALSE	1	tet(A)	6	1	1	7
AusGEM_00747	Sulfonamide	FALSE	1	sul1,sul2	6	1	1	7
AusGEM_00747	Trimethoprim	FALSE	1	dfrA17	6	1	1	7
AusGEM_00747	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	6	1	1	7
AusGEM_00747	Macrolide	TRUE	1	mph(A)	6	1	1	7
SRR11608160	Efflux	FALSE	1	acrF*,emrD*,mdtM*	3	1	1	4
SRR11608160	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	3	1	1	4
SRR11608160	Sulfonamide	FALSE	1	sul2	3	1	1	4
SRR11608160	Streptomycin	FALSE	1	aph(3'')-Ib	3	1	1	4
AusGEM_01262	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	6	1	1	7
AusGEM_01262	Efflux	FALSE	1	acrF*,emrD*,mdtM*	6	1	1	7
AusGEM_01262	Quinolone	TRUE	1	gyrA_S83L,parE_I529L	6	1	1	7
