sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AusGEM_01791:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01791:AA525	1	4572	53.018372703412076	0834c2bfbae5cac15098ea220c1d1329	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP,MOBP	CP011605_00002,NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01791:AB038	1	2430	47.69547325102881	2cd735ca67be6d149a3da62402aee6f0	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01792:AA378	2	95621	47.5303542108951	c0fce8ec17c0a6655f62464c8e46fa50	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01792:AA739	12	164866	47.88009656326957	34d3c59b0abce66440580be767bf56cb	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_005211_00030,NC_021845_00017,NC_009838_00006,NC_005211_00005,NC_005211_00012	-	-	non-mobilizable	CP031567	0.0185579	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01792:AE974	7	65502	47.36038594241397	2fd341e6e371d120b6a1060be467f16a	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_023277_00163,NC_019899_00040,NC_019899_00039,NC_019899_00038,NC_019899_00035	-	-	conjugative	MG516910	0.00103256	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01792:AC037	4	37240	53.70032223415682	61c792cdad6ef2220bb8cffb97f3f09e	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0340249	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01792:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01792:AA525	1	4572	53.193350831146105	b14185228b0a16ec06fa7af0c02e3b8c	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP,MOBP	NC_001848_00006,NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01792:AB038	1	2430	47.69547325102881	53c9cf1211bc85067c976f99d68f7295	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01793:AA378	1	95751	47.53266284425228	3f45b937ec96050cfdf77357bdaeae15	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01793:AA739	11	153141	47.228371239576596	8b2520e9bae39e48b2d98cb1b26b360f	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_005211_00030,NC_021845_00017,NC_005211_00005,NC_009838_00006,NC_005211_00012	-	-	non-mobilizable	CP031567	0.017359	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01793:AE974	7	65502	47.36038594241397	1a2da47ac091d2d39f1f77954e25c67f	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_019899_00035,NC_019899_00038,NC_019899_00039,NC_019899_00040,NC_023277_00163	-	-	conjugative	MG516910	0.00103256	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01793:AC037	4	37241	53.70156547890765	a32a04d9073e9d3712cc6a6d8a513a7e	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0340249	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01793:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01793:AA525	1	4572	52.53718285214348	289255045644b462f32d9377b22896f2	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01793:AB038	1	2430	47.73662551440329	c1578cf0f5db6db7d306cb58b596d36f	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01794:AA378	2	95621	47.5303542108951	69cfa1e09417d234bf86f9cd8105af22	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01794:AA739	10	161077	47.75914624682605	661ecc57e6b6a88c134ff4dfffe58754	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_021845_00017,NC_005211_00030,NC_009838_00006,NC_005211_00005,NC_005211_00012	-	-	non-mobilizable	CP031567	0.0182524	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01794:AE974	7	65628	47.330407752788446	b0fa34e5cd3d214378a635f2405a4599	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_019899_00035,NC_019899_00038,NC_019899_00039,NC_019899_00040,NC_023277_00163	-	-	conjugative	MG516910	0.0010072	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01794:AC037	4	39190	53.942332227609086	5c1dd448662329d86e3c842eaaebea43	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0351567	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01794:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01794:AA525	1	4572	53.040244969378826	291ecc172f423e11d28eb3b7badf549e	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01794:AB038	1	2430	47.69547325102881	2cd735ca67be6d149a3da62402aee6f0	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01795:AA739	26	295675	47.36213748203264	c9508f616c574546fedf62e07f754147	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00030,NC_021845_00017,NC_009838_00006,NC_005211_00005,NC_005211_00012,NC_005211_00207,NC_005211_00200	MOBH	NC_017500	conjugative	KX810825	0.00337267	Salmonella enterica subsp. enterica serovar Typhimurium	AA739	AJ055	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01795:AA474	4	95452	50.17286175250388	304cf435cd40e206fd1fc13670525a22	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	KY748189	0.00366686	Escherichia coli	AA474	AI601	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01795:AE974	1	50827	43.508371534814174	cea500b72b692922a019451eb8161ccd	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_019899_00035,NC_019899_00038,NC_019899_00039,NC_019899_00040,NC_023277_00163	-	-	conjugative	CP020505	0.0171265	Serratia marcescens	AE974	AO865	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01795:AA979	1	6186	49.28871645651471	e3a9cf10dda8c342aa8edd771772257f	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018986	0.00123693	Escherichia coli	AA979	AJ481	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AusGEM_01795:AB071	1	2028	52.41617357001972	0ebe8861207ae0bba314368856898dbf	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	CP001388	mobilizable	CP030349	0.000215742	Enterobacter hormaechei	AB071	AJ631	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01796:AA474	3	96747	49.743144490268435	883298f83a4f2ef740d74f549115495c	IncI1/B/O	HF572032	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	CP018975	0.00208065	Escherichia coli	AA474	AI621	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
AusGEM_01797:AA378	2	94771	47.579955893680555	4a133b460e61f494366b152977060e1a	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01797:AA739	12	164888	47.88523118723012	d211d5c531e42dfee55ad5538112c2ea	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_021845_00017,NC_005211_00030,NC_005211_00005,NC_009838_00006,NC_005211_00012	-	-	non-mobilizable	CP031567	0.0185579	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01797:AE974	6	64277	47.35130762169983	fd4c07847040620d37fd034cd4b1e1b5	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_023277_00163,NC_019899_00040,NC_019899_00039,NC_019899_00038,NC_019899_00035	-	-	conjugative	MG516910	0.00146992	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01797:AC037	4	37241	53.70156547890765	5e24e16fe1042be195741126bff4041a	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0340249	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01797:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01797:AA525	1	4572	53.10586176727909	98e72676bc0aa943ce2d6ad456efa27d	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01797:AB038	1	2430	48.806584362139915	2cc74ce75a101817edaf11f34161f89d	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01798:AA378	2	94771	47.579955893680555	2eaf626a8a25c62fd5935d04767090ea	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01798:AA739	12	154976	47.295065042329135	42120b2992ea7c01fd25b2a491dd4829	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_021845_00017,NC_005211_00030,NC_005211_00005,NC_009838_00006,NC_005211_00012	-	-	non-mobilizable	CP031567	0.0175349	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01798:AE974	7	65502	47.36038594241397	e486bdd75a4c1844f0073d46588a1bf3	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_019899_00035,NC_019899_00038,NC_019899_00039,NC_019899_00040,NC_023277_00163	-	-	conjugative	MG516910	0.00103256	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01798:AC037	3	40873	52.97629241797764	0d9312dd30c2e7ddb3fea8824966a178	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0359759	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01798:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01798:AA525	1	4572	53.193350831146105	87192e696db05ec67d2e2d0dfa53a0a8	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01798:AB038	1	2430	47.69547325102881	2cd735ca67be6d149a3da62402aee6f0	rep_cluster_2335	EF088686_00008	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01799:AA378	3	95260	47.538316187276926	6d38f220d29fa1ad38e825a03ffb0eba	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.0084995	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01799:AA739	13	166790	47.9423226812159	bb72d20205d2ded1d6c227e2b1311216	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_005211_00030,NC_021845_00017,NC_009838_00006,NC_005211_00005,NC_005211_00012	-	-	non-mobilizable	CP031567	0.0185579	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01799:AE974	9	66893	47.466850044100276	93341c2260399d45b51534a0bdf50c1e	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_019899_00035,NC_019899_00038,NC_019899_00039,NC_019899_00040,NC_023277_00163	-	-	conjugative	MG516910	0.00154832	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01799:AC037	6	43938	53.99881651417907	c4dcc3ffa67cfd3d28e798999f72d0e9	IncFIB	000107__CP014778_00094	-	-	-	-	MOBF	NZ_CP013834	mobilizable	CP016402	0.0342477	Klebsiella pneumoniae subsp. pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01799:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01799:AA525	1	4572	52.53718285214348	d23e1f38822f2cb76798ce9ad3e7b36b	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01799:AB038	1	2430	48.477366255144034	088b64a4051ca1442e1353b07d362eb1	rep_cluster_2335,rep_cluster_2358	EF088686_00008,CP000974_00005	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	phylum	Pseudomonadota	phylum	Pseudomonadota	-	-	-
AusGEM_01800:AA378	1	95751	47.519085962548694	5b2bd19d80acbb72afd39fd067527f05	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01800:AA739	11	164067	47.87434401799265	90a335cdf74ca43c8bf11eeee04a4c08	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_005211_00030,NC_021845_00017,NC_005211_00005,NC_009838_00006,NC_005211_00012	-	-	non-mobilizable	CP031567	0.0185579	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01800:AE974	7	65628	47.330407752788446	12ecacf6ed8fbe480eece6989c2df577	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_019899_00035,NC_019899_00038,NC_019899_00039,NC_019899_00040,NC_023277_00163	-	-	conjugative	MG516910	0.0010072	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01800:AC037	4	37241	53.70156547890765	484efc4849c9913a5b585fdd32e0b3a5	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0340249	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01800:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01800:AA525	1	4572	52.646544181977255	8d8911779989944f04f80ef6aa79f3b7	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP	NC_013090_00004	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01800:AB038	1	2430	47.61316872427984	9377160fa48d0b6fc8dfe895649c9af1	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01801:AA378	1	95751	47.53579597079926	25841ee8703118ce681cf35a3840213a	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	MG288678	0.00838426	Klebsiella pneumoniae	AA378	AI372	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01801:AA739	11	153141	47.228371239576596	692c34c7efe6e9599d0ba4bd4c59ebdf	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_021845_00017,NC_005211_00030,NC_005211_00005,NC_009838_00006,NC_005211_00012	-	-	non-mobilizable	CP031567	0.017359	Enterobacter hormaechei	AA739	AJ053	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_01801:AE974	7	65615	47.36416977825193	7c865e8626f54a3596525fd7c7ab3a98	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_023277_00163,NC_019899_00040,NC_019899_00039,NC_019899_00038,NC_019899_00035	-	-	conjugative	MG516910	0.00103256	Escherichia coli	AE974	AO866	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01801:AC037	3	35733	53.496767693728486	a4c4d5870e81eebd804c0ba58725c504	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP030133	0.0331502	Klebsiella pneumoniae	AC037	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01801:AD090	1	13639	53.53764938778503	cda04722b1ec2bba8dd80d86c0be0f87	-	-	-	-	-	-	-	-	non-mobilizable	CP034731	0.0583726	Escherichia coli	AD090	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01801:AA525	1	4572	52.974628171478564	3441bc8e1c2c0b040c052a7cbfd33d40	ColRNAI_rep_cluster_1987	CP041116_00002	MOBP,MOBP	NC_013090_00004,CP011605_00002	-	-	MOB_unknown	CP016722	mobilizable	KM107843	0.00781808	Escherichia coli	AA525	AI706	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01801:AB038	1	2430	47.61316872427984	9377160fa48d0b6fc8dfe895649c9af1	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	CP008720	mobilizable	CP039276	0.00838426	Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025	AB038	AJ573	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_01802:AA378	2	93728	48.137162854216456	8fd69ff201934a0ddcc8f609b4ee5c54	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP022733	0.0228571	Escherichia coli	AA378	AI389	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01802:AA338	8	126593	51.63318666908913	557b214004725969f2f87035973f76e9	IncFIA,IncFIA,IncFIC	000136__AP014877_00014,MK878891_00042,CP014493_00001	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_013437_00116	MOBF,MOBP	CP010192,AP014804	conjugative	CP016389	0.0127293	Salmonella enterica subsp. enterica serovar Typhimurium	AA338	AI281	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AusGEM_01802:AA619	1	33718	41.68989857049647	f8e5c1e2fd861f61e44dc29f4ae7f7f2	IncX4	000222__CP010880_00038	MOBP	NC_013718_00057	MPF_T	NC_013718_00041,NC_013718_00044,NC_013718_00045,NC_019128_00037	-	-	conjugative	CP016037	0.00676872	Escherichia coli	AA619	AI862	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 21911569; 28336940
AusGEM_01802:AB944	1	2971	46.24705486368226	f83f4e4f714b240833da019041f9473b	-	-	-	-	-	-	MOB_unknown	CP016722	mobilizable	NC_019054	0.0533217	Escherichia coli	AB944	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01803:AA378	4	93682	48.12130398582438	4de53e53141039d3ca5e8582d6e8c491	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP019188	0.0228571	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729	AA378	AI389	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01803:AA338	10	111151	51.97614056553697	e647e9daafa557c718e47fd37dedea2a	IncFIA,IncFIA,IncFIC	000136__AP014877_00014,MK878891_00042,CP014493_00001	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_013437_00116,08-5333_00200	MOBF,MOBP	CP010192,AP014804	conjugative	CP016389	0.0107405	Salmonella enterica subsp. enterica serovar Typhimurium	AA338	AI281	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AusGEM_01803:AA619	1	33718	41.68989857049647	e7ed14ce1061d5a6e3274a777d92051d	IncX4	000222__CP010880_00038	MOBP	NC_013718_00057	MPF_T	NC_019128_00037,NC_013718_00045,NC_013718_00044,NC_013718_00041	-	-	conjugative	CP016037	0.00676872	Escherichia coli	AA619	AI862	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 21911569; 28336940
